Sample_ID,Base_Height_m,Top_Height_m,Latitude,Longitude,Elevation_m,Section,Facies_ID,Facies_Notes,Vertical_Height_m,Lateral_Distance_m,Notes,Checkin_Field,Other
AF-NCF-TS2-16-25,64,64.1,N39 30.942,W115 51.352,2320,TS2,Mp,,NA,NA,"3 pictures, last uphill to flag",7/13/16,
AF-NCF-TS2-16-26,64.1,64.2,N39 30.945,W115 51.350,2324,TS2,Mp,peloid rich,NA,NA,"2 pictures, last along strike",7/13/16,
AF-NCF-TS2-16-27,65.5,65.6,N39 30.945,W115 51.357,2318,TS2,Mp,,NA,NA,"2 pictures, last zoomed to see mottled, tabular weathering",7/13/16,
AF-NCF-TS2-16-28,67.25,67.35,N39 30.954,W115 51.344,2324,TS2,Mm,,NA,NA,2 pictures,7/13/16,
AF-NCF-TS2-16-29,69.25,69.35,N39 30.955,W115 51.346,2327,TS2,Mm,,NA,NA,2 pictures,7/13/16,
AF-NCF-TS2-16-30,73.4,73.5,N39 30.965,W115 51.350,2328,TS2,Mm,,NA,NA,3 pictures,7/13/16,
AF-NCF-TS2-16-31,75.5,75.6,N39 30.960,W115 51.351,2330,TS2,Mm,,NA,NA,3 pictures,7/13/16,
AF-NCF-TS2-16-32,78,78.1,N39 30.968,W115 51.352,2332,TS2,Mm,,NA,NA,2 pictures,7/13/16,
AF-NCF-TS2-16-33,78,78.1,N39 30.967,W115 51.355,2332,TS2,Mm,,NA,NA,,7/13/16,
AF-NCF-TS2-16-34,81,81.1,N39 30.975,W115 51.351,2337,TS2,Mm,,NA,NA,2 pictures,7/13/16,
AF-NCF-TS2-16-35,90,90.1,N39 30.998,W115 51.345,2344,TS3,Mm,,NA,NA,"3 pictures, last is uphill",7/13/16,
AF-NCF-TS2-16-36,92,92.5,N39 31.010,W115 51.344,2349,TS3,Mm,,NA,NA,Float. 2 pictures,7/13/16,
AF-NCF-TS3-16-01,314,315,N39 31.273,W115 52.151,2139,TS3,Mb/Fc,,NA,NA,"3 pictures, last upslope with trench",7/15/16,
AF-NCF-TS3-16-02,315.5,315.25,N39 31.273,W115 52.151,2139,TS3,Mb/Fc,,NA,NA,"3 pictures, last upslope with trench",7/15/16,
AF-NCF-TS3-16-03,315.7,315.75,N39 31.273,W115 52.151,2139,TS3,Mb/Fc,,NA,NA,3 pictures,7/15/16,
AF-NCF-TS3-16-04,316.9,317,N39 31.275,W115 52.149,2144,TS3,Mb/Fc,,NA,NA,2 pictures,7/15/16,
AF-NCF-TS3-16-05,317.4,317.5,N39 31.275,W115 52.151,2143,TS3,Mb/Fc,,NA,NA,2 pictures,7/15/16,
AF-NCF-TS3-16-06,320.15,320.25,N39 31.279,W115 52.152,2145,TS3,Mb/Fc,,NA,NA,"2 pictures, last up trench to hard exposed bed",7/15/16,
AF-NCF-TS3-16-07,321.7,321.75,N39 31.280,W115 52.153,2148,TS3,Mb/Fc,,NA,NA,likely just CO3 cemented clay? Just under CO3 beds,7/15/16,
